review_id,user_id,item_id,rating,comment
1,1,1,5,The paneer tikka was smoky and perfectly spiced loved it
2,1,7,4,Butter chicken was rich and creamy but a bit too sweet for me
3,2,6,5,Chicken biryani was excellent the rice was so fragrant
4,2,2,2,The veg biryani was bland and the vegetables were undercooked
5,3,9,4,Masala dosa was crispy and the potato filling was delicious
6,3,17,3,Tandoori chicken was decent but the service was very slow
7,4,4,5,Paneer pizza was amazing the crust was perfectly crisp
8,4,11,1,Cold coffee arrived warm and tasted watered down disappointing
9,5,3,4,Spicy veg pasta had a nice kick would order again
10,5,15,5,Fish curry was outstanding the coconut gravy was rich and tangy
11,6,10,2,Chole bhature was oily and the bhature was undercooked
12,6,13,5,Gulab jamun was soft and the syrup was perfectly sweet
13,7,7,1,Butter chicken had almost no chicken in it very disappointing
14,7,20,5,Chocolate brownie was warm and fudgy best dessert here
15,8,1,3,Paneer tikka was okay nothing special but not bad either
16,8,6,4,Chicken biryani was good but a little too spicy for me
17,9,16,2,Spring rolls were soggy and lacked flavor
18,9,18,4,Lassi was refreshing and perfectly sweet
19,10,8,5,Veg manchurian was crispy and the sauce had a great balance of flavors
20,10,19,3,Veg fried rice was average needed more seasoning
21,11,2,5,Veg biryani was fantastic loaded with vegetables and great spice
22,11,14,4,Veg thali was filling and had a good variety of curries
23,12,5,1,Margherita pizza was cold and the cheese was barely melted
24,12,12,3,Coke was fine nothing to complain about
25,13,17,5,Tandoori chicken was juicy and perfectly charred loved it
26,13,9,1,Masala dosa was cold and the chutney tasted off
27,14,4,4,Paneer pizza was tasty but arrived later than promised
28,14,6,5,Best chicken biryani i have had in a long time highly recommend
29,15,3,2,Spicy veg pasta was too oily and the sauce was too thick
30,15,7,5,Butter chicken was absolutely delicious will order again
